id;name;category;status_item;price;description;images/0;images/1;sold;images/2;images/3
1;Câmera Sony Alpha a7R III Full Frame Mirrorless E-Mount;tecnologia;Usado - Como Novo;R$ 12.500,00;"Kit de câmera, lente, baterias e uma mochila de transporte. O kit conta com:
01(uma) Câmera Sony Alpha a7R III Full Frame Mirrorless E-Mount como nova e com apenas 'XXX' Cliques!
01(uma) Lente Sony Alpha FE 50mm F 1.8 E-Mount Full Frame.
2 (duas) baterias Sony originais.
1(uma) mochila de transporte.
Câmera com pouquíssimo uso em gravações em ambientes internos.";https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/Place_Camera_frente1.png;https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/Place_Camera_topo1.png;false;;
2;Coleção Histórica Marvel: O Incrível Hulk/Panini;hqs;Usado - Como Novo;R$ 150,00;Box com 4 volumes das HQs históricas do universo Marvel do Incrível Hulk publicadas pela Editora Panini em 2018. Formato: Americano (17 x 26 cm) Colorido/Lombada quadrada. 3 HQs no plástico de proteção.;https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/Capa_box_hulk.png;https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/Tras_Box_hulk.png;false;https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/Lombada_Box_hulk.png;https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/4volumes_box_hulk.png
3;Coleção Histórica Marvel: Guerras Secretas/Panini;hqs;Usado - Como Novo;R$ 220,00;Box com 4 volumes das HQs históricas do universo Marvel sobre o arco 'Guerras Secretas' publicadas pela Editora Panini em 2016. Formato: Americano (17 x 26 cm) Colorido/Lombada quadrada. 4 HQs no plástico de proteção.;https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/Capa_box_GuerrasSecretaas.png;https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/Tras_box_GuerrasSecretaas.png;false;https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/Lombada_box_GuerrasSecretaas.png;https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/4volumes_box_GuerrasSecretaas.png
4;Coleção Marvel Terror: A Tumba do Drácula/Panini;hqs;Usado - Como Novo;R$ 200,00;Box com 4 volumes das HQs históricas do universo Marvel com Wolverine publicadas pela Editora Panini em 2017 e 2018. Formato: Americano (17 x 26 cm) Colorido/Lombada quadrada. 3 HQs no plástico de proteção.;https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/Capa_box_ATumbadoDracula.png;https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/Tras_box_ATumbadoDracula.png;false;https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/Lombada_box_ATumbadoDracula.png;https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/4volumes_box_ATumbadoDracula.png
5;Batman - O Longo Dia das Bruxas - Parte 1/Eaglemoss;hqs;Usado - Como Novo;R$ 30,00;Graphic Novel com a compilação da parte 1 das histórias do arco 'O longo dia das Bruxas' do Batman publicada pela Editora Eaglemoss em 2015. Formato: Americano (17 x 26 cm) Colorido/Capa dura.;https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png;;false;;
6;Batman - O Longo Dia das Bruxas - Parte 2/Eaglemoss;hqs;Usado - Como Novo;R$ 30,00;Graphic Novel com a compilação da parte 2 das histórias do arco 'O longo dia das Bruxas' do Batman publicada pela Editora Eaglemoss em 2015. Formato: Americano (17 x 26 cm) Colorido/Capa dura.;https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png;;false;;
7;Batman: O Nascimento do Demônio - Parte 1/Eaglemoss;hqs;Usado - Como Novo;R$ 30,00;Graphic Novel com a compilação da parte 1 das histórias do arco 'O Nascimento do Demônio' do Batman publicada pela Editora Eaglemoss em 2016. Formato: Americano (17 x 26 cm) Colorido/Capa dura.;https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png;;false;;
8;Batman: O Nascimento do Demônio - Parte 2/Eaglemoss;hqs;Usado - Como Novo;R$ 30,00;Graphic Novel com a compilação da parte 2 das histórias do arco 'O longo dia das Bruxas' do Batman publicada pela Editora Eaglemoss em 2015. Formato: Americano (17 x 26 cm) Colorido/Capa dura.;https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png;;false;;
9;Liga da Justiça América (LJA) - O Prego/Eaglemoss;hqs;Usado - Como Novo;R$ 30,00;Graphic Novel com a compilação das histórias do arco 'O Prego' da Liga da Justiça América publicada pela Editora Eaglemoss em 2015. Formato: Americano (17 x 26 cm) Colorido/Capa dura.;https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png;;false;;
10;DC - A Nova Fronteira - Parte 1/Eaglemoss;hqs;Usado - Como Novo;R$ 30,00;Graphic Novel com a compilação da primeira parte das histórias do arco 'DC - A Nova Fronteira' da Liga da Justiça América publicada pela Editora Eaglemoss em 2017. Formato: Americano (17 x 26 cm) Colorido/Capa dura.;https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png;;false;;
11;DC - A Nova Fronteira - Parte 2/Eaglemoss;hqs;Usado - Como Novo;R$ 30,00;Graphic Novel com a compilação da segunda parte das histórias do arco 'DC - A Nova Fronteira' da Liga da Justiça América publicada pela Editora Eaglemoss em 2017. Formato: Americano (17 x 26 cm) Colorido/Capa dura.;https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png;;false;;
